scenario,K,seed,t_e2e_mean,cook,rider_wait,street,walk,ev_wait,ride,service,in_building,in_building_share
K300_3,300,42,1530.323,1062.0,0.0,271.513,17.093,29.203,26.713,123.8,196.81,0.129
K300_3,300,7,1528.757,1062.0,0.0,269.607,17.07,30.64,26.24,123.2,197.15,0.129
K300_3,300,2026,1533.283,1062.0,0.0,271.27,17.183,32.913,26.317,123.6,200.013,0.13
K300_4,300,42,1547.907,1117.0,0.0,236.37,17.093,29.723,26.32,121.4,194.537,0.126
K300_4,300,7,1552.4,1117.0,0.0,237.407,17.07,33.443,26.28,121.2,197.993,0.128
K300_4,300,2026,1544.673,1117.0,0.0,235.283,17.183,28.193,26.413,120.6,192.39,0.125
K300_5,300,42,1591.887,1011.0,0.0,386.507,17.093,29.503,26.383,121.4,194.38,0.122
K300_5,300,7,1592.27,1011.0,0.0,386.56,17.07,29.083,26.557,122.0,194.71,0.122
K300_5,300,2026,1591.017,1011.0,0.0,387.013,17.183,27.823,26.197,121.8,193.003,0.121
K300_6,300,42,1658.44,1033.0,0.0,428.747,17.093,30.963,26.237,122.4,196.693,0.119
K300_6,300,7,1659.363,1033.0,0.0,430.783,17.07,28.807,26.503,123.2,195.58,0.118
K300_6,300,2026,1659.957,1033.0,0.0,431.473,17.183,28.97,25.53,123.8,195.483,0.118
K300_7,300,42,1503.383,1033.0,0.0,272.953,17.093,33.007,26.73,120.6,197.43,0.131
K300_7,300,7,1503.087,1033.0,0.0,272.087,17.07,34.017,25.913,121.0,198.0,0.132
K300_7,300,2026,1500.39,1033.0,0.0,273.897,17.183,28.663,26.647,121.0,193.493,0.129
K300_8,300,42,1542.84,1080.0,0.0,262.61,17.093,33.54,27.397,122.2,200.23,0.13
K300_8,300,7,1539.95,1080.0,0.0,260.23,17.07,33.007,27.243,122.4,199.72,0.13
K300_8,300,2026,1540.783,1080.0,0.0,263.373,17.183,31.97,26.257,122.0,197.41,0.128
K50_1,50,42,1594.86,1032.0,0.0,374.32,17.62,22.98,21.94,126.0,188.54,0.118
K50_1,50,7,1586.86,1032.0,0.0,374.32,17.3,16.88,20.36,126.0,180.54,0.114
K50_1,50,2026,1586.64,1032.0,0.0,371.74,17.78,20.2,20.12,124.8,182.9,0.115
K50_2,50,42,1607.46,1008.0,0.0,413.36,17.62,19.14,20.94,128.4,186.1,0.116
K50_2,50,7,1595.88,1008.0,0.0,405.18,17.3,17.0,20.0,128.4,182.7,0.114
K50_2,50,2026,1595.24,1008.0,0.0,405.64,17.78,14.6,20.82,128.4,181.6,0.114
