scenario,K,tier,seed,wall_sec,drv_arrival_ia_cv2,drv_arrival_ia_mean_sec,drv_arrival_peak10_over_mean,drv_backlog_max,drv_dedicated_pax_mean,drv_dedicated_queue_mean,drv_deliv_per_floor_max,drv_deliv_per_floor_mean,drv_dispatch_queue_max,drv_ev1_pax_ge12_frac,drv_ev1_pax_max,drv_ev1_pax_mean,drv_ev1_queue_max,drv_ev1_queue_mean,drv_ev2_pax_ge12_frac,drv_ev2_pax_max,drv_ev2_pax_mean,drv_ev2_queue_max,drv_ev2_queue_mean,drv_ev3_pax_ge12_frac,drv_ev3_pax_max,drv_ev3_pax_mean,drv_ev3_queue_max,drv_ev3_queue_mean,drv_ev4_pax_ge12_frac,drv_ev4_pax_max,drv_ev4_pax_mean,drv_ev4_queue_max,drv_ev4_queue_mean,drv_evwait_down_p95_sec,drv_evwait_up_p95_sec,drv_fallback_cum_final,drv_fallback_n,drv_floor_burst10_max,drv_floor_mean,drv_n_bike,drv_n_car,drv_n_walk,drv_peds_waiting_max,drv_peds_waiting_mean,drv_rider_wait_max_sec,drv_rider_wait_mean_sec,drv_riders_in_building_max,drv_riders_in_building_mean,drv_riders_in_service_mean,drv_riders_waiting_ev_max,drv_riders_waiting_ev_mean,drv_service_time_mean_sec,drv_share_floor_le5,drv_shared_ev_ids,drv_shared_pax_ge12_frac_all,drv_shared_pax_ge12_frac_any,drv_shared_pax_mean,drv_shared_queue_mean,drv_stairs_share,drv_walked_m_mean,drv_window_used,kpi.building.capex_total_krw,kpi.building.cost_per_order_krw,kpi.building.opex_running_krw,kpi.building.opex_running_krw_delivery,kpi.building.opex_running_krw_orderspan,kpi.building.w_ev_mean_all_sec,kpi.building.w_ev_mean_riders_sec,kpi.customer.n_delivered,kpi.customer.n_orders,kpi.customer.n_sla_violations,kpi.customer.sla_violation_rate,kpi.customer.t_e2e_mean_sec,kpi.customer.t_e2e_p95_sec,kpi.elevator.EV1.capacity_violations,kpi.elevator.EV1.mean_passengers_delivery,kpi.elevator.EV1.n_alights,kpi.elevator.EV1.n_boardings,kpi.elevator.EV1.n_boardings_by_kind.pedestrian,kpi.elevator.EV1.n_boardings_by_kind.rider,kpi.elevator.EV1.shared_with_robot,kpi.elevator.EV1.utilization,kpi.elevator.EV1.utilization_delivery,kpi.elevator.EV1.utilization_orderspan,kpi.elevator.EV1.w_ev_mean_by_kind_sec.pedestrian,kpi.elevator.EV1.w_ev_mean_by_kind_sec.rider,kpi.elevator.EV1.w_ev_mean_sec,kpi.elevator.EV1.w_ev_p95_by_kind_sec.pedestrian,kpi.elevator.EV1.w_ev_p95_by_kind_sec.rider,kpi.elevator.EV1.w_ev_p95_sec,kpi.elevator.EV2.capacity_violations,kpi.elevator.EV2.mean_passengers_delivery,kpi.elevator.EV2.n_alights,kpi.elevator.EV2.n_boardings,kpi.elevator.EV2.n_boardings_by_kind.pedestrian,kpi.elevator.EV2.n_boardings_by_kind.rider,kpi.elevator.EV2.shared_with_robot,kpi.elevator.EV2.utilization,kpi.elevator.EV2.utilization_delivery,kpi.elevator.EV2.utilization_orderspan,kpi.elevator.EV2.w_ev_mean_by_kind_sec.pedestrian,kpi.elevator.EV2.w_ev_mean_by_kind_sec.rider,kpi.elevator.EV2.w_ev_mean_sec,kpi.elevator.EV2.w_ev_p95_by_kind_sec.pedestrian,kpi.elevator.EV2.w_ev_p95_by_kind_sec.rider,kpi.elevator.EV2.w_ev_p95_sec,kpi.elevator.EV3.capacity_violations,kpi.elevator.EV3.mean_passengers_delivery,kpi.elevator.EV3.n_alights,kpi.elevator.EV3.n_boardings,kpi.elevator.EV3.n_boardings_by_kind.pedestrian,kpi.elevator.EV3.n_boardings_by_kind.rider,kpi.elevator.EV3.shared_with_robot,kpi.elevator.EV3.utilization,kpi.elevator.EV3.utilization_delivery,kpi.elevator.EV3.utilization_orderspan,kpi.elevator.EV3.w_ev_mean_by_kind_sec.pedestrian,kpi.elevator.EV3.w_ev_mean_by_kind_sec.rider,kpi.elevator.EV3.w_ev_mean_sec,kpi.elevator.EV3.w_ev_p95_by_kind_sec.pedestrian,kpi.elevator.EV3.w_ev_p95_by_kind_sec.rider,kpi.elevator.EV3.w_ev_p95_sec,kpi.elevator.EV4.capacity_violations,kpi.elevator.EV4.mean_passengers_delivery,kpi.elevator.EV4.n_alights,kpi.elevator.EV4.n_boardings,kpi.elevator.EV4.n_boardings_by_kind.pedestrian,kpi.elevator.EV4.n_boardings_by_kind.rider,kpi.elevator.EV4.shared_with_robot,kpi.elevator.EV4.utilization,kpi.elevator.EV4.utilization_delivery,kpi.elevator.EV4.utilization_orderspan,kpi.elevator.EV4.w_ev_mean_by_kind_sec.pedestrian,kpi.elevator.EV4.w_ev_mean_by_kind_sec.rider,kpi.elevator.EV4.w_ev_mean_sec,kpi.elevator.EV4.w_ev_p95_by_kind_sec.pedestrian,kpi.elevator.EV4.w_ev_p95_by_kind_sec.rider,kpi.elevator.EV4.w_ev_p95_sec,kpi.pedestrian.ev_wait_mean_sec,kpi.pedestrian.n_completed,kpi.pedestrian.n_in_building_at_end,kpi.pedestrian.n_spawned,kpi.rider.ev_wait_down_mean_sec,kpi.rider.ev_wait_up_mean_sec,kpi.rider.lobby_cost_total_krw,kpi.rider.n_by_mode.elevator,kpi.rider.n_by_mode.stairs,kpi.rider.n_exited,kpi.rider.t_lobby_mean_sec,kpi.rider.t_lobby_p95_sec,kpi.simulation.clock_end_sec,kpi.simulation.clock_start_sec,kpi.simulation.delivery_window_sec,kpi.simulation.orderspan_window_sec,kpi.simulation.ped_window_sec,kpi.simulation.scenario_window,kpi.simulation.terminated_by_cap,kpi.simulation.termination_policy,kpi.simulation.termination_reason,kpi.simulation.ticks,kpi.simulation.wall_span_delivery_sec,kpi.simulation.wall_span_orderspan_sec,kpi.simulation.wall_span_sec,kpi.simulation.warmup.head_sec,kpi.simulation.warmup.lookback_sec,kpi.simulation.warmup.ped_boardings_per_min,kpi.simulation.warmup.peds_at_first_order,kpi.simulation.warmup.peds_waiting_at_first_order,kpi.simulation.warmup.util_at_first_order,kpi.simulation.warmup_sec,kpi.simulation.window_policy
K300_3,300,extreme,2026,2.83,2.9342,17.6,2.01,175,1.221,1.953,39,33.333,0,0.0,9,1.22,13,1.953,0.0,9,1.223,9,1.952,0.0,9,1.207,13,2.07,0.0,10,1.223,12,1.992,110.75,86.75,20,20,11,5.977,280,18,2,18,4.342,0.0,0.0,42,13.812,6.037,16,3.626,123.6,0.4333,EV3|EV4,0.0,0.0,1.215,2.031,0.18,42.99333333333333,delivery,0.0,638.2,191464.7,191464.7,191384.7,38.110344827586204,45.264227642276424,300,300,0,0.0,1533.2833333333333,2335.8500000000004,0,1.2198339032730825,328,328,199,129,False,0.8868120456905504,0.8995277642077838,0.9003931847968545,34.71356783919598,41.48837209302326,37.3780487804878,83.29999999999998,95.19999999999996,86.64999999999998,0,1.2229278619117407,329,329,206,123,False,0.8516540572615339,0.8695652173913043,0.8748361730013107,33.529126213592235,43.21138211382114,37.148936170212764,88.0,85.89999999999999,88.0,0,1.2072952287900993,325,325,213,112,True,0.8575878949710726,0.8987135645660316,0.9000655307994757,35.370892018779344,47.13392857142857,39.424615384615386,89.79999999999995,97.44999999999999,95.60000000000002,0,1.2221136622699886,323,323,195,128,True,0.8829550511793502,0.9099495196222114,0.9108781127129751,31.358974358974358,49.40625,38.5108359133127,84.59999999999997,110.84999999999992,100.79999999999995,33.781057810578105,813,0,813,50.390243902439025,40.13821138211382,191464.7,246,54,300,282.77666666666664,387.1,47544.0,40803.0,"[41403.0, 47544.0]","[41403.0, 47507.0]","[40803.0, 52190.0]",True,False,delivery_complete,delivery_complete,6741,6141.0,6104.0,6741.0,600.0,300.0,6.4,13,4,0.6075,600.0,delivery
K300_4,300,extreme,42,3.28,5.4545,21.16,2.53,174,1.235,1.801,43,33.333,0,0.0,10,1.315,12,1.934,0.0,8,1.155,9,1.668,0.0,10,1.104,12,1.859,0.0,10,1.197,12,1.776,103.69999999999999,96.69999999999999,7,7,13,6.037,268,7,25,14,4.27,0.0,0.0,44,11.711,5.145,17,2.968,121.4,0.4233,EV3|EV4,0.0,0.0,1.151,1.818,0.1767,42.76,delivery,0.0,874.0,262210.3,262210.3,262020.3,35.58088737201365,42.534412955465584,300,300,0,0.0,1547.9066666666668,2385.5,0,1.3147781859282284,397,397,267,130,False,0.9137796301120084,0.923283413393614,0.9257834757834758,31.573033707865168,43.06923076923077,35.3375314861461,82.69999999999999,96.0,89.39999999999998,0,1.1555524159367052,369,369,251,118,False,0.9028392810627768,0.9269567674484318,0.9283475783475783,30.314741035856574,36.58474576271186,32.31978319783198,88.0,87.0,87.0,0,1.1039841763209945,341,341,218,123,True,0.8510028653295129,0.8762362249222945,0.8756410256410256,34.80275229357798,47.26829268292683,39.2991202346041,100.04999999999984,111.69999999999997,107.0,0,1.1972308561740606,357,358,235,123,True,0.8756186506902839,0.8994066120372987,0.8985754985754986,31.863829787234042,42.94308943089431,35.67039106145251,85.0,97.69999999999997,93.0,32.06082474226804,970,1,971,48.96761133603239,36.10121457489878,262210.3,247,53,300,276.3333333333333,375.0,48478.0,40800.0,"[41400.0, 48478.0]","[41400.0, 48420.0]","[40800.0, 52196.0]",True,False,delivery_complete,delivery_complete,7678,7078.0,7020.0,7678.0,600.0,300.0,6.2,7,3,0.5966666666666667,600.0,delivery
K300_4,300,extreme,7,3.48,5.4629,21.16,2.42,174,1.161,1.922,43,33.333,0,0.0,9,1.121,11,1.868,0.0,8,1.201,9,1.976,0.0,8,1.178,10,1.916,0.0,9,1.239,10,2.049,98.14999999999998,97.0,7,7,14,5.89,268,6,26,16,4.497,0.0,0.0,45,12.012,5.136,18,3.311,121.2,0.4733,EV3|EV4,0.0,0.0,1.209,1.983,0.14,42.82666666666667,delivery,0.0,899.0,269688.2,269688.2,269491.5,38.17199184228416,45.43023255813954,300,300,0,0.0,1552.4,2351.35,0,1.1207968352641988,364,364,232,132,False,0.8833029434748633,0.8968635207685787,0.8966942148760331,32.96551724137931,44.96212121212121,37.315934065934066,85.89999999999998,99.44999999999999,91.0,0,1.2010454930771404,362,363,239,124,False,0.8758791351914561,0.9018084204577564,0.9009689370190938,37.12133891213389,43.016129032258064,39.13498622589532,98.0,92.85,97.0,0,1.1785815202034473,364,364,237,127,True,0.8741859859338369,0.9143825939530941,0.914220575662582,34.50210970464135,43.330708661417326,37.582417582417584,85.99999999999994,88.09999999999997,88.5499999999999,0,1.2387680135631534,380,380,247,133,True,0.8705392029174264,0.9044927945747386,0.9051011684240524,32.43724696356275,50.150375939849624,38.636842105263156,92.39999999999998,99.0,97.0,34.33613445378151,952,3,955,51.97286821705426,38.8875968992248,269688.2,258,42,300,283.44,367.05,48478.0,40800.0,"[41400.0, 48478.0]","[41400.0, 48418.0]","[40800.0, 52196.0]",True,False,delivery_complete,delivery_complete,7678,7078.0,7018.0,7678.0,600.0,300.0,5.6,8,3,0.5683333333333334,600.0,delivery
K300_4,300,extreme,2026,3.48,5.4875,21.16,2.53,173,1.151,1.715,39,33.333,0,0.0,9,1.153,11,1.747,0.0,10,1.149,10,1.683,0.0,8,1.111,8,1.727,0.0,8,1.166,9,1.724,89.75,86.75,3,3,12,5.977,272,3,25,17,4.092,0.0,0.0,41,11.424,5.069,14,2.79,120.6,0.4333,EV3|EV4,0.0,0.0,1.138,1.726,0.18,42.92666666666667,delivery,0.0,863.5,259052.5,259052.5,258729.2,34.841958041958044,40.46544715447155,300,300,0,0.0,1544.6733333333334,2331.8,0,1.1533071748878925,359,360,246,114,False,0.8574198552223371,0.8658912556053812,0.8640238704177323,31.764227642276424,42.91228070175438,35.294444444444444,94.75,98.39999999999998,97.05000000000001,0,1.1489630044843049,354,355,225,130,False,0.8390641158221303,0.8534192825112108,0.8513782324524013,31.613333333333333,39.46923076923077,34.49014084507042,91.0,81.1,86.60000000000002,0,1.110706278026906,353,353,230,123,True,0.8444932781799379,0.8787836322869955,0.8770957658425689,32.16086956521739,40.41463414634146,35.036827195467424,83.0,80.0,82.39999999999998,0,1.1652186098654709,361,362,237,125,True,0.8663391933815926,0.8881726457399103,0.8868996874111964,32.029535864978904,39.32,34.54696132596685,82.79999999999995,85.6,85.89999999999998,31.909967845659164,933,9,942,46.548780487804876,34.38211382113821,259052.5,246,54,300,271.78,361.1,48536.0,40800.0,"[41400.0, 48536.0]","[41400.0, 48438.0]","[40800.0, 52196.0]",True,False,delivery_complete,delivery_complete,7736,7136.0,7038.0,7736.0,600.0,300.0,6.4,13,4,0.6075,600.0,delivery
K300_5,300,extreme,42,3.1,2.5459,17.23,1.89,154,1.298,2.126,43,33.333,0,0.0,7,1.255,8,2.041,0.0013,12,1.341,11,2.21,0.0,8,1.29,10,2.06,0.0,7,1.277,10,2.041,96.0,88.0,8,8,13,6.037,292,7,1,17,5.06,0.0,0.0,35,13.34,5.919,15,3.292,121.4,0.4233,EV3|EV4,0.0,0.0,1.283,2.05,0.1767,42.906666666666666,delivery,0.0,612.5,183742.1,183742.1,183595.4,38.467255334805,41.006072874493924,300,300,0,0.0,1591.8866666666668,2454.4500000000003,0,1.2556892067620287,337,337,230,107,False,0.9449052132701422,0.9588751625487646,0.9654889071487264,38.1,38.61682242990654,38.26409495548961,93.64999999999995,84.69999999999999,89.59999999999997,0,1.3413524057217165,348,349,216,133,False,0.9215047393364929,0.951072821846554,0.9579293344289236,36.291666666666664,44.17293233082707,39.29512893982808,95.0,94.79999999999998,95.0,0,1.2899869960988297,339,339,220,119,True,0.9272808056872038,0.9637516254876463,0.9674609695973706,37.02272727272727,40.09243697478992,38.100294985250734,86.09999999999997,92.0,88.09999999999997,0,1.276820546163849,334,334,199,135,True,0.8973637440758294,0.926853055916775,0.9370583401807724,36.54773869346734,40.58518518518518,38.17964071856287,85.19999999999999,92.89999999999996,88.34999999999997,37.05555555555556,864,1,865,46.178137651821864,35.83400809716599,183742.1,247,53,300,273.6066666666667,365.05,47576.0,40824.0,"[41424.0, 47576.0]","[41424.0, 47509.0]","[40824.0, 52187.0]",True,False,delivery_complete,delivery_complete,6752,6152.0,6085.0,6752.0,600.0,300.0,6.2,7,3,0.5966666666666667,600.0,delivery
K300_5,300,extreme,7,3.08,2.554,17.23,1.89,153,1.288,1.925,43,33.333,0,0.0,8,1.22,11,1.957,0.0,10,1.356,10,1.894,0.0,8,1.361,10,2.105,0.0,8,1.164,8,1.8,97.0,84.89999999999986,10,10,12,5.89,290,10,0,13,4.335,0.0,0.0,35,13.514,5.97,16,3.421,122.0,0.4733,EV3|EV4,0.0,0.0,1.263,1.952,0.14,42.96,delivery,0.0,620.6,186175.0,186175.0,186055.0,36.00447427293065,40.645348837209305,300,300,0,0.0,1592.27,2453.75,0,1.2200652528548124,337,338,203,135,False,0.8942050520059436,0.9109298531810767,0.9101234567901234,33.364532019704434,41.25185185185185,36.514792899408285,86.89999999999998,95.6,89.14999999999998,0,1.3556280587275693,339,339,212,127,False,0.8843982169390787,0.9151712887438825,0.9148971193415638,32.35377358490566,39.173228346456696,34.908554572271385,81.44999999999999,97.0,91.09999999999997,0,1.3615008156606851,351,352,221,131,True,0.8827637444279346,0.9300163132137031,0.9293827160493827,34.20814479638009,41.67175572519084,36.98579545454545,89.0,94.5,90.0,0,1.164110929853181,312,312,189,123,True,0.8780089153046062,0.9179445350734095,0.917201646090535,32.36507936507937,40.40650406504065,35.53525641025641,86.59999999999997,86.0,86.0,33.15309842041312,823,8,831,47.47286821705426,33.81782945736434,186175.0,258,42,300,276.19,367.15000000000003,47554.0,40824.0,"[41424.0, 47554.0]","[41424.0, 47499.0]","[40824.0, 52187.0]",True,False,delivery_complete,delivery_complete,6730,6130.0,6075.0,6730.0,600.0,300.0,5.6,8,3,0.5683333333333334,600.0,delivery
K300_5,300,extreme,2026,3.04,2.5233,17.23,1.95,151,1.216,1.852,39,33.333,0,0.0,9,1.172,9,1.8,0.0,9,1.259,9,1.903,0.0,9,1.198,10,1.908,0.0,8,1.229,8,2.023,104.75,86.5,9,9,10,5.977,291,9,0,16,4.279,0.0,0.0,35,13.538,6.011,13,3.356,121.8,0.4333,EV3|EV4,0.0,0.0,1.213,1.966,0.18,43.04666666666667,delivery,0.0,614.6,184388.3,184388.3,184323.9,36.291441788743256,41.46138211382114,300,300,0,0.0,1591.0166666666667,2502.15,0,1.1725896676538334,326,326,196,130,False,0.8965259059598683,0.9103323461665022,0.9125330687830688,31.836734693877553,38.23076923076923,34.38650306748466,89.0,87.1,88.75,0,1.2589667653833498,325,325,199,126,False,0.8739143456124588,0.8942086212569924,0.8936838624338624,32.959798994974875,41.142857142857146,36.13230769230769,90.1,98.75,94.0,0,1.1982560052648898,324,324,195,129,True,0.839622641509434,0.8794011187890753,0.8837632275132276,33.97435897435897,39.29457364341085,36.092592592592595,86.0,84.6,85.84999999999997,0,1.228035538005923,321,322,215,107,True,0.9055106319257262,0.935011516946364,0.9346891534391535,33.70697674418604,48.373831775700936,38.58074534161491,86.29999999999998,108.69999999999999,101.79999999999995,33.157960199004975,804,5,809,48.99186991869919,33.93089430894309,184388.3,246,54,300,274.3233333333333,372.05,47502.0,40824.0,"[41424.0, 47502.0]","[41424.0, 47472.0]","[40824.0, 52187.0]",True,False,delivery_complete,delivery_complete,6678,6078.0,6048.0,6678.0,600.0,300.0,6.4,13,4,0.6075,600.0,delivery
K300_6,300,extreme,42,3.27,4.1293,18.89,1.7666666666666666,147,1.203,1.947,43,33.333,0,0.0,6,1.112,7,1.856,0.0,7,1.294,7,2.038,0.0,8,1.353,9,2.108,0.0,9,1.177,11,1.956,89.69999999999999,82.0,12,12,9,6.037,279,12,9,17,4.697,0.0,0.0,33,12.772,5.64,16,3.261,122.4,0.4233,EV3|EV4,0.0,0.0,1.265,2.032,0.1767,42.81333333333333,delivery,0.0,901.0,270293.9,270293.9,270190.6,37.664996420901936,42.983805668016196,300,300,0,0.0,1658.44,2518.3,0,1.1125960061443931,336,336,226,110,False,0.9281293952180029,0.9397849462365592,0.9394874961407842,33.889380530973455,43.07272727272727,36.895833333333336,80.75,83.1,82.0,0,1.2938556067588325,348,348,236,112,False,0.9088607594936708,0.9356374807987711,0.9353195430688485,36.38135593220339,42.607142857142854,38.38505747126437,101.25,89.44999999999999,94.0,0,1.35284178187404,370,370,232,138,True,0.9066104078762307,0.9391705069124424,0.9408768138314294,33.48275862068966,44.92028985507246,37.74864864864865,85.0,88.60000000000002,88.0,0,1.176804915514593,342,343,209,134,True,0.8929676511954993,0.9204301075268817,0.9200370484717505,35.26794258373206,41.23134328358209,37.59766763848396,89.19999999999999,87.0,88.0,34.746119733924616,902,4,906,48.36032388663968,37.607287449392715,270293.9,247,53,300,277.2,367.20000000000005,47910.0,40800.0,"[41400.0, 47910.0]","[41400.0, 47878.0]","[40800.0, 52187.0]",True,False,delivery_complete,delivery_complete,7110,6510.0,6478.0,7110.0,600.0,300.0,6.2,7,3,0.5966666666666667,600.0,delivery
K300_6,300,extreme,7,3.3,4.1192,18.89,1.7333333333333334,147,1.268,2.032,43,33.333,0,0.0025,15,1.318,16,2.026,0.0,8,1.217,13,2.038,0.0,8,1.222,10,1.989,0.0,7,1.229,10,1.863,96.29999999999995,89.0,16,16,12,5.89,275,16,9,17,4.641,0.0,0.0,32,12.843,5.663,14,3.275,123.2,0.4733,EV3|EV4,0.0,0.0,1.226,1.926,0.14,42.86,delivery,0.0,908.3,272487.6,272487.6,272341.0,37.37063435495367,41.41472868217054,300,300,0,0.0,1659.3633333333332,2579.9,0,1.3186206896551724,376,376,236,140,False,0.9030175438596492,0.9195402298850575,0.9189814814814815,34.15677966101695,39.385714285714286,36.10372340425532,85.25,91.04999999999998,89.25,0,1.2167049808429118,351,352,223,129,False,0.8849122807017544,0.9138697318007662,0.9132716049382716,34.55156950672646,45.093023255813954,38.41477272727273,89.0,94.0,92.0,0,1.2226819923371648,335,335,222,113,True,0.8753684210526316,0.919080459770115,0.9185185185185185,36.41891891891892,44.008849557522126,38.97910447761194,90.0,89.79999999999998,90.30000000000001,0,1.2288122605363985,340,340,206,134,True,0.8816842105263157,0.9195402298850575,0.9189814814814815,35.0,37.80597014925373,36.10588235294118,93.5,95.0,95.0,35.050790067720094,886,5,891,49.333333333333336,33.49612403100775,272487.6,258,42,300,279.38666666666666,369.05,47925.0,40800.0,"[41400.0, 47925.0]","[41400.0, 47880.0]","[40800.0, 52187.0]",True,False,delivery_complete,delivery_complete,7125,6525.0,6480.0,7125.0,600.0,300.0,5.6,8,3,0.5683333333333334,600.0,delivery
K300_6,300,extreme,2026,3.27,4.0807,18.89,1.7666666666666666,148,1.131,1.788,39,33.333,0,0.0,7,1.124,9,1.687,0.0,8,1.139,9,1.889,0.0,8,1.162,9,1.834,0.0,10,1.2,11,1.784,98.25,85.75,19,19,12,5.977,272,19,9,15,4.032,0.0,0.0,33,12.725,5.702,13,3.162,123.8,0.4333,EV3|EV4,0.0,0.0,1.181,1.809,0.18,42.96666666666667,delivery,0.0,895.5,268661.3,268661.3,268531.3,35.561194029850746,41.863821138211385,300,300,0,0.0,1659.9566666666667,2516.2,0,1.1237714987714988,335,336,217,119,False,0.9017154105736783,0.9150798525798526,0.9145550061804697,32.87096774193548,34.63025210084034,33.49404761904762,93.19999999999999,85.69999999999996,92.0,0,1.1385135135135136,336,336,207,129,False,0.8487064116985377,0.8653255528255528,0.8644932014833128,32.89855072463768,44.36434108527132,37.30059523809524,77.69999999999999,93.6,89.25,0,1.1618550368550369,335,335,211,124,True,0.8654386951631046,0.9049447174447175,0.9105377008652658,31.274881516587676,43.88709677419355,35.94328358208955,85.5,84.85,85.30000000000001,0,1.1991707616707616,332,333,213,120,True,0.8475815523059618,0.8697788697788698,0.8716007416563659,30.577464788732396,44.25833333333333,35.507507507507505,79.19999999999993,109.1,87.39999999999998,31.995266272189347,845,3,848,48.39837398373984,35.329268292682926,268661.2,246,54,300,276.25,357.30000000000007,47912.0,40800.0,"[41400.0, 47912.0]","[41400.0, 47872.0]","[40800.0, 52187.0]",True,False,delivery_complete,delivery_complete,7112,6512.0,6472.0,7112.0,600.0,300.0,6.4,13,4,0.6075,600.0,delivery
K300_7,300,extreme,42,3.09,4.2717,17.58,1.89,158,1.309,2.16,43,33.333,0,0.0016,12,1.342,14,2.271,0.0,8,1.276,12,2.05,0.0,8,1.28,9,2.043,0.0,7,1.294,8,1.908,100.69999999999999,93.69999999999999,5,5,10,6.037,278,3,19,15,4.574,0.0,0.0,37,13.821,5.934,19,3.697,120.6,0.4233,EV3|EV4,0.0,0.0,1.287,1.975,0.1767,42.74666666666667,delivery,0.0,681.3,204391.8,204391.8,204256.8,37.84587020648968,45.6336032388664,300,300,0,0.0,1503.3833333333334,2349.55,0,1.3426837270341208,348,349,231,118,False,0.927120669056153,0.9394685039370079,0.9414004303923191,36.39393939393939,48.932203389830505,40.63323782234957,93.0,93.59999999999997,93.0,0,1.2764107611548556,346,347,215,132,False,0.9169653524492234,0.9463582677165354,0.9458698890912101,31.813953488372093,43.75757575757576,36.357348703170025,90.89999999999995,98.44999999999999,95.0,0,1.2798556430446195,326,326,198,128,True,0.9047192353643967,0.9393044619422573,0.9465320311206754,33.72222222222222,47.0078125,38.938650306748464,94.59999999999991,97.94999999999997,97.5,0,1.2937992125984252,334,334,218,116,True,0.9091995221027479,0.9401246719160105,0.9400761463333885,31.431192660550458,42.89655172413793,35.41317365269461,90.14999999999998,93.25,91.34999999999997,33.448837209302326,860,2,862,51.178137651821864,40.08906882591093,204391.8,247,53,300,280.88666666666666,380.05,47502.0,40806.0,"[41406.0, 47502.0]","[41406.0, 47447.0]","[40806.0, 52182.0]",True,False,delivery_complete,delivery_complete,6696,6096.0,6041.0,6696.0,600.0,300.0,6.2,7,3,0.5966666666666667,600.0,delivery
K300_7,300,extreme,7,1.71,4.277,17.58,1.89,159,1.254,2.017,43,33.333,0,0.0,9,1.245,10,2.038,0.0,11,1.262,12,1.995,0.0,9,1.289,13,1.974,0.0053,15,1.228,13,2.012,90.0,92.29999999999995,6,6,12,5.89,277,5,18,17,4.38,0.0,0.0,38,13.801,5.995,16,3.639,121.0,0.4733,EV3|EV4,0.0,0.0053,1.258,1.993,0.14,42.64666666666667,delivery,0.0,677.6,203282.5,203282.5,203200.0,37.00978179082016,42.70348837209303,300,300,0,0.0,1503.0866666666666,2305.9,0,1.2454575487281137,330,332,204,128,False,0.8919446949203487,0.9086554344235216,0.9081395348837209,34.42156862745098,43.96875,38.102409638554214,87.69999999999999,94.0,92.0,0,1.261975553353155,336,336,197,139,False,0.8763149984971446,0.9066732738685167,0.9066445182724252,31.431472081218274,43.94964028776978,36.61011904761905,84.19999999999999,90.1,87.0,0,1.2887347208457218,331,333,202,131,True,0.8748121430718365,0.9218698381235547,0.9214285714285714,34.28217821782178,38.6793893129771,36.012012012012015,86.0,91.0,90.0,0,1.2281136438718203,328,328,210,118,True,0.8680492936579501,0.9074991740997688,0.9069767441860465,33.39047619047619,44.33050847457627,37.326219512195124,85.64999999999995,88.0,87.64999999999998,33.3490099009901,808,10,818,45.85271317829457,39.554263565891475,203282.5,258,42,300,278.55333333333334,374.0,47460.0,40806.0,"[41406.0, 47460.0]","[41406.0, 47426.0]","[40806.0, 52182.0]",True,False,delivery_complete,delivery_complete,6654,6054.0,6020.0,6654.0,600.0,300.0,5.6,8,3,0.5683333333333334,600.0,delivery
K300_7,300,extreme,2026,2.05,4.2777,17.58,1.89,158,1.281,1.915,39,33.333,0,0.0,10,1.235,10,2.011,0.0,10,1.328,11,1.819,0.0,10,1.185,11,2.002,0.0,9,1.213,10,2.073,106.0,90.0,7,7,11,5.977,276,5,19,16,4.399,0.0,0.0,37,13.735,5.985,18,3.507,121.0,0.4333,EV3|EV4,0.0,0.0,1.199,2.038,0.18,42.8,delivery,0.0,673.5,202037.4,202037.4,201942.4,37.535493827160494,43.22560975609756,300,300,0,0.0,1500.39,2322.8,0,1.2354881266490765,330,330,194,136,False,0.8936074429771909,0.9071569920844327,0.9065560165975104,33.871134020618555,43.088235294117645,37.66969696969697,97.09999999999997,97.75,98.65000000000003,0,1.3275065963060686,333,333,206,127,False,0.878001200480192,0.8987467018469657,0.9012448132780083,29.538834951456312,40.77952755905512,33.825825825825824,81.75,101.0,92.39999999999998,0,1.1850263852242744,308,309,199,110,True,0.8835534213685474,0.9277704485488126,0.9273029045643153,36.58793969849246,44.663636363636364,39.46278317152104,109.19999999999999,102.64999999999999,106.39999999999986,0,1.212401055408971,323,324,205,119,True,0.8551920768307323,0.8797823218997362,0.8790041493775934,36.302439024390246,44.66386554621849,39.373456790123456,98.79999999999998,99.0,99.0,34.091022443890274,802,6,808,51.49593495934959,34.95528455284553,202037.4,246,54,300,277.68333333333334,373.05,47470.0,40806.0,"[41406.0, 47470.0]","[41406.0, 47431.0]","[40806.0, 52182.0]",True,False,delivery_complete,delivery_complete,6664,6064.0,6025.0,6664.0,600.0,300.0,6.4,13,4,0.6075,600.0,delivery
