agent,K,metric,value,scenario
rider,200,n_exited,200.0,K200_5
rider,200,n_exited,200.0,K200_6
rider,200,n_exited,200.0,K200_7
rider,200,n_exited,200.0,K200_8
rider,200,n_exited,200.0,K200_9
rider,300,n_exited,300.0,K300_1
rider,300,n_exited,300.0,K300_2
rider,300,n_exited,300.0,K300_3
rider,300,n_exited,300.0,K300_4
rider,300,n_exited,300.0,K300_5
rider,300,n_exited,300.0,K300_6
rider,300,n_exited,300.0,K300_7
rider,300,n_exited,300.0,K300_8
rider,50,n_exited,50.0,K50_1
rider,50,n_exited,50.0,K50_2
rider,100,t_lobby_mean_sec,245.7267,K100_1
rider,100,t_lobby_mean_sec,247.8667,K100_2
rider,100,t_lobby_mean_sec,248.6233,K100_3
rider,100,t_lobby_mean_sec,247.43,K100_4
rider,100,t_lobby_mean_sec,246.5633,K100_5
rider,100,t_lobby_mean_sec,249.8333,K100_6
rider,100,t_lobby_mean_sec,249.74,K100_7
rider,100,t_lobby_mean_sec,254.16,K100_8
rider,100,t_lobby_mean_sec,249.84,K100_9
rider,200,t_lobby_mean_sec,264.8633,K200_1
rider,200,t_lobby_mean_sec,261.2183,K200_2
rider,200,t_lobby_mean_sec,261.3717,K200_3
rider,200,t_lobby_mean_sec,270.17,K200_4
rider,200,t_lobby_mean_sec,266.79,K200_5
rider,200,t_lobby_mean_sec,275.7917,K200_6
rider,200,t_lobby_mean_sec,264.825,K200_7
rider,200,t_lobby_mean_sec,257.7633,K200_8
rider,200,t_lobby_mean_sec,267.4433,K200_9
rider,300,t_lobby_mean_sec,277.6722,K300_1
rider,300,t_lobby_mean_sec,271.8178,K300_2
rider,300,t_lobby_mean_sec,279.6511,K300_3
rider,300,t_lobby_mean_sec,277.1844,K300_4
rider,300,t_lobby_mean_sec,274.7067,K300_5
rider,300,t_lobby_mean_sec,277.6122,K300_6
rider,300,t_lobby_mean_sec,279.0411,K300_7
rider,300,t_lobby_mean_sec,282.9189,K300_8
rider,50,t_lobby_mean_sec,249.8667,K50_1
rider,50,t_lobby_mean_sec,244.9333,K50_2
rider,100,t_lobby_p95_sec,316.7667,K100_1
rider,100,t_lobby_p95_sec,323.9833,K100_2
rider,100,t_lobby_p95_sec,323.4667,K100_3
rider,100,t_lobby_p95_sec,313.3333,K100_4
rider,100,t_lobby_p95_sec,318.9,K100_5
rider,100,t_lobby_p95_sec,331.8667,K100_6
rider,100,t_lobby_p95_sec,323.6167,K100_7
rider,100,t_lobby_p95_sec,326.1667,K100_8
rider,100,t_lobby_p95_sec,318.5,K100_9
rider,200,t_lobby_p95_sec,346.4,K200_1
rider,200,t_lobby_p95_sec,342.4167,K200_2
rider,200,t_lobby_p95_sec,343.0833,K200_3
rider,200,t_lobby_p95_sec,364.3833,K200_4
rider,200,t_lobby_p95_sec,359.2167,K200_5
rider,200,t_lobby_p95_sec,365.3667,K200_6
rider,200,t_lobby_p95_sec,348.05,K200_7
rider,200,t_lobby_p95_sec,338.5667,K200_8
rider,200,t_lobby_p95_sec,357.4167,K200_9
rider,300,t_lobby_p95_sec,384.1167,K300_1
rider,300,t_lobby_p95_sec,360.3833,K300_2
rider,300,t_lobby_p95_sec,384.7333,K300_3
rider,300,t_lobby_p95_sec,367.7167,K300_4
rider,300,t_lobby_p95_sec,368.0833,K300_5
rider,300,t_lobby_p95_sec,364.5167,K300_6
rider,300,t_lobby_p95_sec,375.7,K300_7
rider,300,t_lobby_p95_sec,380.7167,K300_8
rider,50,t_lobby_p95_sec,334.1167,K50_1
rider,50,t_lobby_p95_sec,308.3167,K50_2
rider,100,ev_wait_up_mean_sec,22.5572,K100_1
rider,100,ev_wait_up_mean_sec,23.4162,K100_2
rider,100,ev_wait_up_mean_sec,24.4986,K100_3
rider,100,ev_wait_up_mean_sec,24.1735,K100_4
rider,100,ev_wait_up_mean_sec,23.9388,K100_5
rider,100,ev_wait_up_mean_sec,25.3575,K100_6
rider,100,ev_wait_up_mean_sec,24.5701,K100_7
rider,100,ev_wait_up_mean_sec,23.8768,K100_8
rider,100,ev_wait_up_mean_sec,24.1226,K100_9
rider,200,ev_wait_up_mean_sec,32.6914,K200_1
rider,200,ev_wait_up_mean_sec,30.3105,K200_2
rider,200,ev_wait_up_mean_sec,31.7222,K200_3
rider,200,ev_wait_up_mean_sec,32.9369,K200_4
rider,200,ev_wait_up_mean_sec,30.5704,K200_5
rider,200,ev_wait_up_mean_sec,33.2213,K200_6
rider,200,ev_wait_up_mean_sec,29.618,K200_7
rider,200,ev_wait_up_mean_sec,31.2076,K200_8
rider,200,ev_wait_up_mean_sec,32.7127,K200_9
rider,300,ev_wait_up_mean_sec,36.8077,K300_1
rider,300,ev_wait_up_mean_sec,35.5851,K300_2
rider,300,ev_wait_up_mean_sec,37.0786,K300_3
rider,300,ev_wait_up_mean_sec,36.457,K300_4
rider,300,ev_wait_up_mean_sec,34.5276,K300_5
rider,300,ev_wait_up_mean_sec,35.4776,K300_6
rider,300,ev_wait_up_mean_sec,38.1995,K300_7
rider,300,ev_wait_up_mean_sec,39.3682,K300_8
rider,50,ev_wait_up_mean_sec,22.8384,K50_1
rider,50,ev_wait_up_mean_sec,19.1833,K50_2
rider,100,ev_wait_down_mean_sec,30.4069,K100_1
rider,100,ev_wait_down_mean_sec,31.0809,K100_2
rider,100,ev_wait_down_mean_sec,33.0893,K100_3
rider,100,ev_wait_down_mean_sec,30.0248,K100_4
rider,100,ev_wait_down_mean_sec,33.3258,K100_5
rider,100,ev_wait_down_mean_sec,32.5692,K100_6
rider,100,ev_wait_down_mean_sec,32.726,K100_7
rider,100,ev_wait_down_mean_sec,34.3203,K100_8
rider,100,ev_wait_down_mean_sec,30.5566,K100_9
rider,200,ev_wait_down_mean_sec,39.6611,K200_1
rider,200,ev_wait_down_mean_sec,40.5659,K200_2
rider,200,ev_wait_down_mean_sec,40.9722,K200_3
rider,200,ev_wait_down_mean_sec,42.8232,K200_4
rider,200,ev_wait_down_mean_sec,41.1119,K200_5
rider,200,ev_wait_down_mean_sec,46.1761,K200_6
rider,200,ev_wait_down_mean_sec,40.6032,K200_7
rider,200,ev_wait_down_mean_sec,37.7576,K200_8
rider,200,ev_wait_down_mean_sec,41.669,K200_9
rider,300,ev_wait_down_mean_sec,48.9991,K300_1
rider,300,ev_wait_down_mean_sec,45.7759,K300_2
rider,300,ev_wait_down_mean_sec,48.6426,K300_3
rider,300,ev_wait_down_mean_sec,49.1631,K300_4
rider,300,ev_wait_down_mean_sec,47.5476,K300_5
rider,300,ev_wait_down_mean_sec,48.6973,K300_6
rider,300,ev_wait_down_mean_sec,49.5089,K300_7
rider,300,ev_wait_down_mean_sec,50.6992,K300_8
rider,50,ev_wait_down_mean_sec,30.8734,K50_1
rider,50,ev_wait_down_mean_sec,26.3904,K50_2
rider,100,stairs_share,0.15,K100_1
rider,100,stairs_share,0.15,K100_2
rider,100,stairs_share,0.15,K100_3
rider,100,stairs_share,0.15,K100_4
rider,100,stairs_share,0.15,K100_5
rider,100,stairs_share,0.15,K100_6
rider,100,stairs_share,0.15,K100_7
rider,100,stairs_share,0.15,K100_8
rider,100,stairs_share,0.15,K100_9
rider,200,stairs_share,0.15,K200_1
rider,200,stairs_share,0.15,K200_2
rider,200,stairs_share,0.15,K200_3
rider,200,stairs_share,0.15,K200_4
rider,200,stairs_share,0.15,K200_5
rider,200,stairs_share,0.15,K200_6
rider,200,stairs_share,0.15,K200_7
rider,200,stairs_share,0.15,K200_8
rider,200,stairs_share,0.15,K200_9
rider,300,stairs_share,0.1656,K300_1
rider,300,stairs_share,0.1656,K300_2
rider,300,stairs_share,0.1656,K300_3
rider,300,stairs_share,0.1656,K300_4
rider,300,stairs_share,0.1656,K300_5
rider,300,stairs_share,0.1656,K300_6
rider,300,stairs_share,0.1656,K300_7
rider,300,stairs_share,0.1656,K300_8
rider,50,stairs_share,0.12,K50_1
rider,50,stairs_share,0.12,K50_2
rider,100,walked_m_mean,43.3067,K100_1
rider,100,walked_m_mean,43.5,K100_2
rider,100,walked_m_mean,43.5133,K100_3
rider,100,walked_m_mean,43.4467,K100_4
rider,100,walked_m_mean,43.3533,K100_5
rider,100,walked_m_mean,43.42,K100_6
rider,100,walked_m_mean,43.38,K100_7
rider,100,walked_m_mean,43.38,K100_8
rider,100,walked_m_mean,43.4667,K100_9
rider,200,walked_m_mean,42.4533,K200_1
rider,200,walked_m_mean,42.48,K200_2
rider,200,walked_m_mean,42.4233,K200_3
rider,200,walked_m_mean,42.5033,K200_4
rider,200,walked_m_mean,42.41,K200_5
rider,200,walked_m_mean,42.5433,K200_6
rider,200,walked_m_mean,42.5333,K200_7
rider,200,walked_m_mean,42.3967,K200_8
rider,200,walked_m_mean,42.5167,K200_9
rider,300,walked_m_mean,42.8467,K300_1
rider,300,walked_m_mean,42.8022,K300_2
rider,300,walked_m_mean,42.8533,K300_3
rider,300,walked_m_mean,42.8378,K300_4
rider,300,walked_m_mean,42.9711,K300_5
rider,300,walked_m_mean,42.88,K300_6
rider,300,walked_m_mean,42.7311,K300_7
rider,300,walked_m_mean,42.94,K300_8
rider,50,walked_m_mean,43.7733,K50_1
rider,50,walked_m_mean,44.0133,K50_2
rider,100,pool_wait_mean_sec,0.0,K100_1
rider,100,pool_wait_mean_sec,0.0,K100_2
rider,100,pool_wait_mean_sec,0.0,K100_3
rider,100,pool_wait_mean_sec,0.0,K100_4
rider,100,pool_wait_mean_sec,0.0,K100_5
rider,100,pool_wait_mean_sec,0.0,K100_6
rider,100,pool_wait_mean_sec,0.0,K100_7
rider,100,pool_wait_mean_sec,0.0,K100_8
rider,100,pool_wait_mean_sec,0.0,K100_9
rider,200,pool_wait_mean_sec,0.0,K200_1
rider,200,pool_wait_mean_sec,0.0,K200_2
rider,200,pool_wait_mean_sec,0.0,K200_3
rider,200,pool_wait_mean_sec,0.0,K200_4
rider,200,pool_wait_mean_sec,0.0,K200_5
rider,200,pool_wait_mean_sec,0.0,K200_6
rider,200,pool_wait_mean_sec,0.0,K200_7
rider,200,pool_wait_mean_sec,0.0,K200_8
rider,200,pool_wait_mean_sec,0.0,K200_9
rider,300,pool_wait_mean_sec,0.0,K300_1
rider,300,pool_wait_mean_sec,0.0,K300_2
rider,300,pool_wait_mean_sec,0.0,K300_3
rider,300,pool_wait_mean_sec,0.0,K300_4
rider,300,pool_wait_mean_sec,0.0,K300_5
rider,300,pool_wait_mean_sec,0.0,K300_6
rider,300,pool_wait_mean_sec,0.0,K300_7
rider,300,pool_wait_mean_sec,0.0,K300_8
rider,50,pool_wait_mean_sec,0.0,K50_1
rider,50,pool_wait_mean_sec,0.0,K50_2
rider,100,pool_wait_max_sec,0.0,K100_1
rider,100,pool_wait_max_sec,0.0,K100_2
rider,100,pool_wait_max_sec,0.0,K100_3
rider,100,pool_wait_max_sec,0.0,K100_4
rider,100,pool_wait_max_sec,0.0,K100_5
rider,100,pool_wait_max_sec,0.0,K100_6
rider,100,pool_wait_max_sec,0.0,K100_7
rider,100,pool_wait_max_sec,0.0,K100_8
rider,100,pool_wait_max_sec,0.0,K100_9
rider,200,pool_wait_max_sec,0.0,K200_1
rider,200,pool_wait_max_sec,0.0,K200_2
rider,200,pool_wait_max_sec,0.0,K200_3
rider,200,pool_wait_max_sec,0.0,K200_4
rider,200,pool_wait_max_sec,0.0,K200_5
rider,200,pool_wait_max_sec,0.0,K200_6
rider,200,pool_wait_max_sec,0.0,K200_7
rider,200,pool_wait_max_sec,0.0,K200_8
rider,200,pool_wait_max_sec,0.0,K200_9
rider,300,pool_wait_max_sec,0.0,K300_1
rider,300,pool_wait_max_sec,0.0,K300_2
rider,300,pool_wait_max_sec,0.0,K300_3
rider,300,pool_wait_max_sec,0.0,K300_4
rider,300,pool_wait_max_sec,0.0,K300_5
rider,300,pool_wait_max_sec,0.0,K300_6
rider,300,pool_wait_max_sec,0.0,K300_7
rider,300,pool_wait_max_sec,0.0,K300_8
rider,50,pool_wait_max_sec,0.0,K50_1
rider,50,pool_wait_max_sec,0.0,K50_2
rider,100,in_building_mean,3.8723,K100_1
rider,100,in_building_mean,3.7297,K100_2
rider,100,in_building_mean,4.6243,K100_3
rider,100,in_building_mean,3.9727,K100_4
rider,100,in_building_mean,4.2347,K100_5
rider,100,in_building_mean,4.5767,K100_6
rider,100,in_building_mean,4.2583,K100_7
rider,100,in_building_mean,4.2337,K100_8
rider,100,in_building_mean,4.1343,K100_9
rider,200,in_building_mean,8.511,K200_1
rider,200,in_building_mean,7.7103,K200_2
rider,200,in_building_mean,7.797,K200_3
rider,200,in_building_mean,9.534,K200_4
rider,200,in_building_mean,8.9347,K200_5
rider,200,in_building_mean,8.627,K200_6
rider,200,in_building_mean,7.7917,K200_7
rider,200,in_building_mean,8.1,K200_8
rider,200,in_building_mean,8.7827,K200_9
rider,300,in_building_mean,14.738,K300_1
rider,300,in_building_mean,13.5807,K300_2
rider,300,in_building_mean,13.6757,K300_3
rider,300,in_building_mean,11.7157,K300_4
rider,300,in_building_mean,13.464,K300_5
rider,300,in_building_mean,12.78,K300_6
rider,300,in_building_mean,13.7857,K300_7
rider,300,in_building_mean,13.5853,K300_8
rider,50,in_building_mean,2.1693,K50_1
rider,50,in_building_mean,2.0127,K50_2
rider,100,in_building_max,11.3333,K100_1
rider,100,in_building_max,12.0,K100_2
rider,100,in_building_max,11.3333,K100_3
rider,100,in_building_max,14.0,K100_4
rider,100,in_building_max,13.6667,K100_5
rider,100,in_building_max,15.0,K100_6
rider,100,in_building_max,14.0,K100_7
rider,100,in_building_max,17.0,K100_8
rider,100,in_building_max,13.6667,K100_9
rider,200,in_building_max,23.6667,K200_1
rider,200,in_building_max,25.3333,K200_2
rider,200,in_building_max,21.3333,K200_3
rider,200,in_building_max,29.0,K200_4
rider,200,in_building_max,30.6667,K200_5
rider,200,in_building_max,32.6667,K200_6
rider,200,in_building_max,26.0,K200_7
rider,200,in_building_max,21.6667,K200_8
rider,200,in_building_max,31.3333,K200_9
rider,300,in_building_max,43.0,K300_1
rider,300,in_building_max,32.6667,K300_2
rider,300,in_building_max,40.3333,K300_3
rider,300,in_building_max,43.3333,K300_4
rider,300,in_building_max,35.0,K300_5
rider,300,in_building_max,32.6667,K300_6
rider,300,in_building_max,37.3333,K300_7
rider,300,in_building_max,48.6667,K300_8
rider,50,in_building_max,8.6667,K50_1
rider,50,in_building_max,7.3333,K50_2
rider,100,waiting_ev_mean,0.7087,K100_1
rider,100,waiting_ev_mean,0.696,K100_2
rider,100,waiting_ev_mean,0.9093,K100_3
rider,100,waiting_ev_mean,0.739,K100_4
rider,100,waiting_ev_mean,0.833,K100_5
rider,100,waiting_ev_mean,0.9017,K100_6
rider,100,waiting_ev_mean,0.8303,K100_7
rider,100,waiting_ev_mean,0.8233,K100_8
rider,100,waiting_ev_mean,0.768,K100_9
rider,200,waiting_ev_mean,1.9773,K200_1
rider,200,waiting_ev_mean,1.7787,K200_2
rider,200,waiting_ev_mean,1.8423,K200_3
rider,200,waiting_ev_mean,2.275,K200_4
rider,200,waiting_ev_mean,2.039,K200_5
rider,200,waiting_ev_mean,2.1123,K200_6
rider,200,waiting_ev_mean,1.7573,K200_7
rider,200,waiting_ev_mean,1.8407,K200_8
rider,200,waiting_ev_mean,2.076,K200_9
rider,300,waiting_ev_mean,3.7997,K300_1
rider,300,waiting_ev_mean,3.392,K300_2
rider,300,waiting_ev_mean,3.4943,K300_3
rider,300,waiting_ev_mean,3.023,K300_4
rider,300,waiting_ev_mean,3.3563,K300_5
rider,300,waiting_ev_mean,3.2327,K300_6
rider,300,waiting_ev_mean,3.6143,K300_7
rider,300,waiting_ev_mean,3.608,K300_8
rider,50,waiting_ev_mean,0.4107,K50_1
rider,50,waiting_ev_mean,0.33,K50_2
rider,100,waiting_ev_max,5.6667,K100_1
rider,100,waiting_ev_max,7.0,K100_2
rider,100,waiting_ev_max,5.0,K100_3
rider,100,waiting_ev_max,6.6667,K100_4
rider,100,waiting_ev_max,6.3333,K100_5
rider,100,waiting_ev_max,6.6667,K100_6
rider,100,waiting_ev_max,5.6667,K100_7
rider,100,waiting_ev_max,7.6667,K100_8
rider,100,waiting_ev_max,6.3333,K100_9
rider,200,waiting_ev_max,9.0,K200_1
rider,200,waiting_ev_max,10.0,K200_2
rider,200,waiting_ev_max,9.3333,K200_3
rider,200,waiting_ev_max,12.3333,K200_4
rider,200,waiting_ev_max,12.6667,K200_5
rider,200,waiting_ev_max,13.6667,K200_6
rider,200,waiting_ev_max,11.0,K200_7
rider,200,waiting_ev_max,10.3333,K200_8
rider,200,waiting_ev_max,12.6667,K200_9
rider,300,waiting_ev_max,18.6667,K300_1
rider,300,waiting_ev_max,13.6667,K300_2
rider,300,waiting_ev_max,17.0,K300_3
rider,300,waiting_ev_max,16.3333,K300_4
rider,300,waiting_ev_max,14.6667,K300_5
rider,300,waiting_ev_max,14.3333,K300_6
rider,300,waiting_ev_max,17.6667,K300_7
rider,300,waiting_ev_max,19.6667,K300_8
rider,50,waiting_ev_max,4.6667,K50_1
rider,50,waiting_ev_max,3.3333,K50_2
rider,100,lobby_cost_total_krw,55500.9333,K100_1
rider,100,lobby_cost_total_krw,55826.1,K100_2
rider,100,lobby_cost_total_krw,75968.2333,K100_3
rider,100,lobby_cost_total_krw,75603.6,K100_4
rider,100,lobby_cost_total_krw,75338.8,K100_5
rider,100,lobby_cost_total_krw,76337.9667,K100_6
rider,100,lobby_cost_total_krw,76309.4333,K100_7
rider,100,lobby_cost_total_krw,77660.0,K100_8
rider,100,lobby_cost_total_krw,81566.8333,K100_9
rider,200,lobby_cost_total_krw,119568.3667,K200_1
rider,200,lobby_cost_total_krw,116465.9333,K200_2
rider,200,lobby_cost_total_krw,130685.8333,K200_3
rider,200,lobby_cost_total_krw,137854.9667,K200_4
rider,200,lobby_cost_total_krw,136952.2333,K200_5
rider,200,lobby_cost_total_krw,141844.5,K200_6
rider,200,lobby_cost_total_krw,135261.5667,K200_7
rider,200,lobby_cost_total_krw,128881.6667,K200_8
rider,200,lobby_cost_total_krw,120126.4333,K200_9
rider,300,lobby_cost_total_krw,186139.8333,K300_1
rider,300,lobby_cost_total_krw,260015.4667,K300_2
rider,300,lobby_cost_total_krw,189646.4667,K300_3
rider,300,lobby_cost_total_krw,263650.3333,K300_4
rider,300,lobby_cost_total_krw,184768.4667,K300_5
rider,300,lobby_cost_total_krw,270480.9,K300_6
rider,300,lobby_cost_total_krw,203237.2333,K300_7
rider,300,lobby_cost_total_krw,231485.7333,K300_8
rider,50,lobby_cost_total_krw,28615.3667,K50_1
rider,50,lobby_cost_total_krw,28324.7667,K50_2
pedestrian,100,n_spawned,862.3333,K100_1
pedestrian,100,n_spawned,899.0,K100_2
pedestrian,100,n_spawned,730.6667,K100_3
pedestrian,100,n_spawned,849.0,K100_4
pedestrian,100,n_spawned,792.3333,K100_5
pedestrian,100,n_spawned,739.0,K100_6
pedestrian,100,n_spawned,800.3333,K100_7
pedestrian,100,n_spawned,823.0,K100_8
pedestrian,100,n_spawned,826.6667,K100_9
pedestrian,200,n_spawned,846.6667,K200_1
pedestrian,200,n_spawned,916.6667,K200_2
pedestrian,200,n_spawned,904.3333,K200_3
pedestrian,200,n_spawned,768.3333,K200_4
pedestrian,200,n_spawned,816.3333,K200_5
pedestrian,200,n_spawned,867.6667,K200_6
pedestrian,200,n_spawned,919.6667,K200_7
pedestrian,200,n_spawned,865.3333,K200_8
pedestrian,200,n_spawned,833.0,K200_9
pedestrian,300,n_spawned,765.0,K300_1
